Row,Day,Day.Of.Week,Date,Page.Loads,Cases,First.Time.Visits,Returning.Visits
1045,Monday,2,7/24/2017,3154,2214,1726,488
1046,Tuesday,3,7/25/2017,3084,2148,1666,482
1047,Wednesday,4,7/26/2017,2983,1925,149,435
1048,Thursday,5,7/27/2017,2849,1908,144,468
1049,Friday,6,7/28/2017,242,1538,115,388
1050,Saturday,7,7/29/2017,13,895,712,183
1051,Sunday,1,7/30/2017,1526,1112,863,249
1052,Monday,2,7/31/2017,2872,1978,1481,497
1053,Tuesday,3,8/1/2017,2914,1957,1463,494
1054,Wednesday,4,8/2/2017,2843,1994,1536,458
1055,Thursday,5,8/3/2017,2649,1894,1447,447
1056,Friday,6,8/4/2017,2042,1478,115,328
1057,Saturday,7,8/5/2017,1225,901,681,220
1058,Sunday,1,8/6/2017,1562,1045,792,253
1059,Monday,2,8/7/2017,2751,1823,1398,425
1060,Tuesday,3,8/8/2017,2634,1868,1415,453
1061,Wednesday,4,8/9/2017,2704,1961,1511,450
1062,Thursday,5,8/10/2017,267,1864,1463,401
1063,Friday,6,8/11/2017,2073,1498,1121,377
1064,Saturday,7,8/12/2017,124,888,669,219
1065,Sunday,1,8/13/2017,153,1076,811,265
1066,Monday,2,8/14/2017,2392,1704,1346,358
1067,Tuesday,3,8/15/2017,2675,1846,1471,375
1068,Wednesday,4,8/16/2017,2755,1911,1436,475
1069,Thursday,5,8/17/2017,2608,1824,1421,403
1070,Friday,6,8/18/2017,2163,1521,1163,358
1071,Saturday,7,8/19/2017,1304,951,743,208
1072,Sunday,1,8/20/2017,1969,1419,1156,263
1073,Monday,2,8/21/2017,2985,2069,1575,494
1074,Tuesday,3,8/22/2017,3087,2259,1772,487
1075,Wednesday,4,8/23/2017,3047,2147,1704,443
1076,Thursday,5,8/24/2017,2961,2026,16,426
1077,Friday,6,8/25/2017,2293,1589,1257,332
1078,Saturday,7,8/26/2017,1261,934,751,183
1079,Sunday,1,8/27/2017,1676,1211,983,228
1080,Monday,2,8/28/2017,1786,1287,1005,282
1081,Tuesday,3,8/29/2017,3252,231,1845,465
1082,Wednesday,4,8/30/2017,3082,2179,1741,438
1083,Thursday,5,8/31/2017,2721,1963,1579,384
1084,Friday,6,9/1/2017,2217,1583,1235,348
1085,Saturday,7,9/2/2017,1271,908,730,178
1086,Sunday,1,9/3/2017,1742,1197,958,239
1087,Monday,2,9/4/2017,2293,1704,138,324
1088,Tuesday,3,9/5/2017,3155,2289,1818,471
1089,Wednesday,4,9/6/2017,3159,232,1882,438
1090,Thursday,5,9/7/2017,3054,2243,1777,466
1091,Friday,6,9/8/2017,244,1848,1488,360
1092,Saturday,7,9/9/2017,1532,1108,924,184
1093,Sunday,1,9/10/2017,2247,1657,1366,291
1094,Monday,2,9/11/2017,357,2496,2033,463
1095,Tuesday,3,9/12/2017,3524,254,2075,465
1096,Wednesday,4,9/13/2017,3471,2473,204,433
1097,Thursday,5,9/14/2017,3303,2415,1974,441
1098,Friday,6,9/15/2017,256,1867,1519,348
1099,Saturday,7,9/16/2017,147,109,912,178
1100,Sunday,1,9/17/2017,2234,1715,1446,269
1101,Monday,2,9/18/2017,3504,2596,2123,473
1102,Tuesday,3,9/19/2017,3984,284,2382,458
1103,Wednesday,4,9/20/2017,3746,266,2188,472
1104,Thursday,5,9/21/2017,3524,2667,2143,524
1105,Friday,6,9/22/2017,2639,1944,1591,353
1106,Saturday,7,9/23/2017,1523,1178,975,203
1107,Sunday,1,9/24/2017,2425,1809,1521,288
1108,Monday,2,9/25/2017,3671,2705,2202,503
1109,Tuesday,3,9/26/2017,3669,278,2306,474
1110,Wednesday,4,9/27/2017,3537,2657,2211,446
1111,Thursday,5,9/28/2017,3413,2507,2048,459
1112,Friday,6,9/29/2017,2699,1902,1554,348
1113,Saturday,7,9/30/2017,1829,1289,1058,231
1114,Sunday,1,10/1/2017,2379,1812,1507,305
1115,Monday,2,10/2/2017,3637,2669,2221,448
1116,Tuesday,3,10/3/2017,3775,2787,2253,534
1117,Wednesday,4,10/4/2017,3572,2731,2245,486
1118,Thursday,5,10/5/2017,3605,2695,223,465
1119,Friday,6,10/6/2017,2774,2078,167,408
1120,Saturday,7,10/7/2017,178,1354,1106,248
1121,Sunday,1,10/8/2017,2469,1884,1571,313
1122,Monday,2,10/9/2017,3881,2869,2348,521
1123,Tuesday,3,10/10/2017,3767,2785,2296,489
1124,Wednesday,4,10/11/2017,4082,2924,2335,589
1125,Thursday,5,10/12/2017,4047,2768,224,528
1126,Friday,6,10/13/2017,2877,2114,1706,408
1127,Saturday,7,10/14/2017,2073,1559,1298,261
1128,Sunday,1,10/15/2017,2759,2066,1739,327
1129,Monday,2,10/16/2017,3817,288,2344,536
1130,Tuesday,3,10/17/2017,3949,293,2402,528
1131,Wednesday,4,10/18/2017,3867,2896,2395,501
1132,Thursday,5,10/19/2017,3621,2582,2119,463
1133,Friday,6,10/20/2017,2978,222,1772,448
1134,Saturday,7,10/21/2017,1992,1434,1158,276
1135,Sunday,1,10/22/2017,2851,2142,1779,363
1136,Monday,2,10/23/2017,439,3177,2651,526
1137,Tuesday,3,10/24/2017,3886,2938,2406,532
1138,Wednesday,4,10/25/2017,3424,2477,2017,460
1139,Thursday,5,10/26/2017,4207,3087,2561,526
1140,Friday,6,10/27/2017,3345,2478,1984,494
1141,Saturday,7,10/28/2017,2128,1567,1277,290
1142,Sunday,1,10/29/2017,2205,1637,1319,318
1143,Monday,2,10/30/2017,4091,2999,2453,546
1144,Tuesday,3,10/31/2017,4223,3143,2555,588
1145,Wednesday,4,11/1/2017,4361,3147,2554,593
1146,Thursday,5,11/2/2017,4263,3103,2513,590
1147,Friday,6,11/3/2017,3341,2397,1903,494
1148,Saturday,7,11/4/2017,2278,1634,1307,327
1149,Sunday,1,11/5/2017,3097,2299,1888,411
1150,Monday,2,11/6/2017,4185,3113,2538,575
1151,Tuesday,3,11/7/2017,4477,3341,2689,652
1152,Wednesday,4,11/8/2017,4354,3227,2579,648
1153,Thursday,5,11/9/2017,4194,3005,2401,604
1154,Friday,6,11/10/2017,324,2319,1833,486
1155,Saturday,7,11/11/2017,2424,1613,1283,330
1156,Sunday,1,11/12/2017,3168,2309,1853,456
1157,Monday,2,11/13/2017,4709,3433,2784,649
1158,Tuesday,3,11/14/2017,4634,3373,2727,646
1159,Wednesday,4,11/15/2017,4545,3345,2681,664
1160,Thursday,5,11/16/2017,4532,3332,2693,639
1161,Friday,6,11/17/2017,3317,2508,2018,490
1162,Saturday,7,11/18/2017,2449,1741,1386,355
1163,Sunday,1,11/19/2017,2893,2231,178,451
1164,Monday,2,11/20/2017,417,3135,2555,580
1165,Tuesday,3,11/21/2017,4277,3026,2419,607
1166,Wednesday,4,11/22/2017,3588,2625,2078,547
1167,Thursday,5,11/23/2017,3141,2237,176,477
1168,Friday,6,11/24/2017,2658,1843,1429,414
1169,Saturday,7,11/25/2017,2391,1652,1327,325
1170,Sunday,1,11/26/2017,3202,2354,1901,453
1171,Monday,2,11/27/2017,4349,3251,2601,650
1172,Tuesday,3,11/28/2017,4886,366,2968,692
1173,Wednesday,4,11/29/2017,4555,3484,2824,660
1174,Thursday,5,11/30/2017,4477,3134,253,604
1175,Friday,6,12/1/2017,3577,2603,2056,547
1176,Saturday,7,12/2/2017,243,1827,1461,366
1177,Sunday,1,12/3/2017,3449,2504,2006,498
1178,Monday,2,12/4/2017,4955,3673,3019,654
1179,Tuesday,3,12/5/2017,4475,3435,2775,660
1180,Wednesday,4,12/6/2017,4595,3452,2766,686
1181,Thursday,5,12/7/2017,4451,3199,2563,636
1182,Friday,6,12/8/2017,3418,2549,2037,512
1183,Saturday,7,12/9/2017,2605,1944,1572,372
1184,Sunday,1,12/10/2017,3483,2607,2102,505
1185,Monday,2,12/11/2017,4651,335,2656,694
1186,Tuesday,3,12/12/2017,4029,3011,2351,660
1187,Wednesday,4,12/13/2017,4282,3205,2609,596
1188,Thursday,5,12/14/2017,4138,293,2315,615
1189,Friday,6,12/15/2017,413,2803,2211,592
1190,Saturday,7,12/16/2017,2581,1761,1429,332
1191,Sunday,1,12/17/2017,3355,23,1876,424
1192,Monday,2,12/18/2017,4482,3109,2491,618
1193,Tuesday,3,12/19/2017,4584,3021,2456,565
1194,Wednesday,4,12/20/2017,4106,2661,2133,528
1195,Thursday,5,12/21/2017,3378,2243,1798,445
1196,Friday,6,12/22/2017,2446,1544,1211,333
1197,Saturday,7,12/23/2017,1447,958,753,205
1198,Sunday,1,12/24/2017,1326,895,696,199
1199,Monday,2,12/25/2017,1609,1015,809,206
1200,Tuesday,3,12/26/2017,2481,1438,1105,333
1201,Wednesday,4,12/27/2017,2798,174,135,390
1202,Thursday,5,12/28/2017,2809,1797,1425,372
1203,Friday,6,12/29/2017,2216,141,1083,327
1204,Saturday,7,12/30/2017,1546,1071,839,232
1205,Sunday,1,12/31/2017,1339,923,724,199
1206,Monday,2,1/1/2018,1709,112,878,242
1207,Tuesday,3,1/2/2018,3389,2208,1755,453
1208,Wednesday,4,1/3/2018,3391,2282,1827,455
1209,Thursday,5,1/4/2018,3698,231,1878,432
1210,Friday,6,1/5/2018,3511,2272,1801,471
1211,Saturday,7,1/6/2018,2279,1498,1196,302
1212,Sunday,1,1/7/2018,2822,1869,1495,374
1213,Monday,2,1/8/2018,424,2784,2186,598
1214,Tuesday,3,1/9/2018,4319,2844,2302,542
1215,Wednesday,4,1/10/2018,4224,2866,2304,562
1216,Thursday,5,1/11/2018,3797,2704,2203,501
1217,Friday,6,1/12/2018,319,2127,1692,435
1218,Saturday,7,1/13/2018,1998,1373,1128,245
1219,Sunday,1,1/14/2018,2515,1711,1393,318
1220,Monday,2,1/15/2018,395,2612,2065,547
1221,Tuesday,3,1/16/2018,4033,2631,2133,498
1222,Wednesday,4,1/17/2018,4269,2812,2285,527
1223,Thursday,5,1/18/2018,4124,2677,2157,520
1224,Friday,6,1/19/2018,3228,2198,1763,435
1225,Saturday,7,1/20/2018,2287,1423,116,263
1226,Sunday,1,1/21/2018,2946,1996,1628,368
1227,Monday,2,1/22/2018,4608,3035,2534,501
1228,Tuesday,3,1/23/2018,4786,3154,2566,588
1229,Wednesday,4,1/24/2018,4724,3244,268,564
1230,Thursday,5,1/25/2018,4417,2875,2348,527
1231,Friday,6,1/26/2018,358,2314,1825,489
1232,Saturday,7,1/27/2018,2345,1544,1229,315
1233,Sunday,1,1/28/2018,317,214,1776,364
1234,Monday,2,1/29/2018,4862,3194,2573,621
1235,Tuesday,3,1/30/2018,46,3106,2504,602
1236,Wednesday,4,1/31/2018,4705,3249,2704,545
1237,Thursday,5,2/1/2018,4723,3164,2571,593
1238,Friday,6,2/2/2018,3969,2572,2104,468
1239,Saturday,7,2/3/2018,2994,2034,1702,332
1240,Sunday,1,2/4/2018,3162,2186,1811,375
1241,Monday,2,2/5/2018,4949,3287,2735,552
1242,Tuesday,3,2/6/2018,5092,3465,2838,627
1243,Wednesday,4,2/7/2018,4767,3319,2729,590
1244,Thursday,5,2/8/2018,4625,3179,2603,576
1245,Friday,6,2/9/2018,3738,2477,2015,462
1246,Saturday,7,2/10/2018,2739,1793,1477,316
1247,Sunday,1,2/11/2018,3923,2476,2077,399
1248,Monday,2,2/12/2018,5341,3687,3045,642
1249,Tuesday,3,2/13/2018,5114,346,2836,624
1250,Wednesday,4,2/14/2018,4896,3214,2568,646
1251,Thursday,5,2/15/2018,4502,305,2507,543
1252,Friday,6,2/16/2018,3729,2518,2012,506
1253,Saturday,7,2/17/2018,2388,1618,1319,299
1254,Sunday,1,2/18/2018,3405,2314,1928,386
1255,Monday,2,2/19/2018,5176,362,2971,649
1256,Tuesday,3,2/20/2018,5429,3597,2978,619
1257,Wednesday,4,2/21/2018,512,3448,2869,579
1258,Thursday,5,2/22/2018,4993,3379,2774,605
1259,Friday,6,2/23/2018,4148,2751,2221,530
1260,Saturday,7,2/24/2018,2763,1981,1648,333
1261,Sunday,1,2/25/2018,3599,2446,2011,435
1262,Monday,2,2/26/2018,5542,3728,3052,676
1263,Tuesday,3,2/27/2018,5378,3764,3123,641
1264,Wednesday,4,2/28/2018,5536,3734,3095,639
1265,Thursday,5,3/1/2018,4984,3315,2713,602
1266,Friday,6,3/2/2018,413,2754,2231,523
1267,Saturday,7,3/3/2018,2818,1922,1579,343
1268,Sunday,1,3/4/2018,3978,2699,2249,450
1269,Monday,2,3/5/2018,5502,3727,3019,708
1270,Tuesday,3,3/6/2018,574,3842,316,682
1271,Wednesday,4,3/7/2018,5635,3734,3037,697
1272,Thursday,5,3/8/2018,5375,3704,3044,660
1273,Friday,6,3/9/2018,4273,3038,249,548
1274,Saturday,7,3/10/2018,3223,2305,1918,387
1275,Sunday,1,3/11/2018,3956,2727,2288,439
1276,Monday,2,3/12/2018,5895,4141,3447,694
1277,Tuesday,3,3/13/2018,6152,4207,3398,809
1278,Wednesday,4,3/14/2018,5906,4021,3305,716
1279,Thursday,5,3/15/2018,63,4061,3279,782
1280,Friday,6,3/16/2018,4915,3259,2673,586
1281,Saturday,7,3/17/2018,3218,2161,1818,343
1282,Sunday,1,3/18/2018,4429,2919,2435,484
1283,Monday,2,3/19/2018,5739,4038,3316,722
1284,Tuesday,3,3/20/2018,622,4292,3553,739
1285,Wednesday,4,3/21/2018,6238,4163,3396,767
1286,Thursday,5,3/22/2018,6226,4251,3595,656
1287,Friday,6,3/23/2018,4364,2994,2457,537
1288,Saturday,7,3/24/2018,2882,2021,1682,339
1289,Sunday,1,3/25/2018,401,2748,2263,485
1290,Monday,2,3/26/2018,6084,3995,3289,706
1291,Tuesday,3,3/27/2018,5874,4147,3446,701
1292,Wednesday,4,3/28/2018,5719,3917,3288,629
1293,Thursday,5,3/29/2018,5003,3396,2812,584
1294,Friday,6,3/30/2018,3605,2541,2062,479
1295,Saturday,7,3/31/2018,2811,1901,1512,389
1296,Sunday,1,4/1/2018,3567,2438,1956,482
1297,Monday,2,4/2/2018,5237,3542,2875,667
1298,Tuesday,3,4/3/2018,6154,4126,3438,688
1299,Wednesday,4,4/4/2018,5895,4112,3418,694
1300,Thursday,5,4/5/2018,5858,3943,3232,711
1301,Friday,6,4/6/2018,5034,3348,2749,599
1302,Saturday,7,4/7/2018,3613,2291,184,451
1303,Sunday,1,4/8/2018,4389,3059,253,529
1304,Monday,2,4/9/2018,6278,429,3546,744
1305,Tuesday,3,4/10/2018,6836,4514,3747,767
1306,Wednesday,4,4/11/2018,6731,4596,3759,837
1307,Thursday,5,4/12/2018,6287,4332,3563,769
1308,Friday,6,4/13/2018,5089,3454,285,604
1309,Saturday,7,4/14/2018,3812,2542,2094,448
1310,Sunday,1,4/15/2018,529,3538,2914,624
1311,Monday,2,4/16/2018,7161,4993,4188,805
1312,Tuesday,3,4/17/2018,7352,4939,4058,881
1313,Wednesday,4,4/18/2018,7218,4842,4001,841
1314,Thursday,5,4/19/2018,704,4672,3895,777
1315,Friday,6,4/20/2018,5367,3728,3029,699
1316,Saturday,7,4/21/2018,4021,2749,2253,496
1317,Sunday,1,4/22/2018,5397,3722,3059,663
1318,Monday,2,4/23/2018,7605,5124,4216,908
1319,Tuesday,3,4/24/2018,7614,5094,4181,913
1320,Wednesday,4,4/25/2018,7984,5541,4616,925
1321,Thursday,5,4/26/2018,704,4823,3957,866
1322,Friday,6,4/27/2018,5628,3749,3095,654
1323,Saturday,7,4/28/2018,3926,2618,2141,477
1324,Sunday,1,4/29/2018,5479,3635,3057,578
1325,Monday,2,4/30/2018,667,4584,3784,800
1326,Tuesday,3,5/1/2018,6783,4542,3742,800
1327,Wednesday,4,5/2/2018,7105,4865,4013,852
1328,Thursday,5,5/3/2018,6877,4702,3854,848
1329,Friday,6,5/4/2018,546,3711,3039,672
1330,Saturday,7,5/5/2018,3648,2568,2058,510
1331,Sunday,1,5/6/2018,4917,3311,2737,574
1332,Monday,2,5/7/2018,698,4654,3881,773
1333,Tuesday,3,5/8/2018,6702,4577,37,877
1334,Wednesday,4,5/9/2018,6699,4488,3581,907
1335,Thursday,5,5/10/2018,6001,4059,3265,794
1336,Friday,6,5/11/2018,5094,3454,2766,688
1337,Saturday,7,5/12/2018,3179,2237,1821,416
1338,Sunday,1,5/13/2018,4169,2912,2413,499
1339,Monday,2,5/14/2018,6392,4388,3637,751
1340,Tuesday,3,5/15/2018,5878,4094,3384,710
1341,Wednesday,4,5/16/2018,58,3976,3266,710
1342,Thursday,5,5/17/2018,569,4023,3254,769
1343,Friday,6,5/18/2018,4314,2986,24,586
1344,Saturday,7,5/19/2018,2948,2117,1735,382
1345,Sunday,1,5/20/2018,3864,2674,2155,519
1346,Monday,2,5/21/2018,5499,3708,3005,703
1347,Tuesday,3,5/22/2018,579,404,3269,771
1348,Wednesday,4,5/23/2018,572,3971,3206,765
1349,Thursday,5,5/24/2018,5692,3675,2965,710
1350,Friday,6,5/25/2018,4082,2803,2188,615
1351,Saturday,7,5/26/2018,2716,1965,1597,368
1352,Sunday,1,5/27/2018,343,2374,1887,487
1353,Monday,2,5/28/2018,4353,2994,2392,602
1354,Tuesday,3,5/29/2018,5525,3777,3112,665
1355,Wednesday,4,5/30/2018,5407,3574,2908,666
1356,Thursday,5,5/31/2018,4994,3485,2792,693
1357,Friday,6,6/1/2018,3835,2681,2172,509
1358,Saturday,7,6/2/2018,2511,175,1423,327
1359,Sunday,1,6/3/2018,3371,2308,1891,417
1360,Monday,2,6/4/2018,5226,3399,2741,658
1361,Tuesday,3,6/5/2018,5139,3453,2811,642
1362,Wednesday,4,6/6/2018,5051,3474,2828,646
1363,Thursday,5,6/7/2018,4787,3283,2685,598
1364,Friday,6,6/8/2018,3956,267,2107,563
1365,Saturday,7,6/9/2018,2303,1589,1278,311
1366,Sunday,1,6/10/2018,3011,2091,1717,374
1367,Monday,2,6/11/2018,4896,3326,2714,612
1368,Tuesday,3,6/12/2018,4952,3309,2624,685
1369,Wednesday,4,6/13/2018,457,3099,2439,660
1370,Thursday,5,6/14/2018,4542,2962,2377,585
1371,Friday,6,6/15/2018,3383,232,1847,473
1372,Saturday,7,6/16/2018,1922,1316,1061,255
1373,Sunday,1,6/17/2018,2404,1677,1361,316
1374,Monday,2,6/18/2018,4576,2964,2313,651
1375,Tuesday,3,6/19/2018,4727,3144,2519,625
1376,Wednesday,4,6/20/2018,4639,2989,237,619
1377,Thursday,5,6/21/2018,4108,2762,2154,608
1378,Friday,6,6/22/2018,3372,2207,1744,463
1379,Saturday,7,6/23/2018,1996,1277,989,288
1380,Sunday,1,6/24/2018,2415,1619,1266,353
1381,Monday,2,6/25/2018,4457,2881,2272,609
1382,Tuesday,3,6/26/2018,4736,3039,241,629
1383,Wednesday,4,6/27/2018,4245,2818,2244,574
1384,Thursday,5,6/28/2018,4081,2785,216,625
1385,Friday,6,6/29/2018,3053,2008,1568,440
1386,Saturday,7,6/30/2018,1741,1147,927,220
1387,Sunday,1,7/1/2018,2186,1447,114,307
1388,Monday,2,7/2/2018,4026,2533,1952,581
1389,Tuesday,3,7/3/2018,3961,2515,1966,549
1390,Wednesday,4,7/4/2018,3019,2032,1595,437
1391,Thursday,5,7/5/2018,3743,2496,1997,499
1392,Friday,6,7/6/2018,305,1995,1575,420
1393,Saturday,7,7/7/2018,1688,108,857,223
1394,Sunday,1,7/8/2018,2185,144,1145,295
1395,Monday,2,7/9/2018,4104,2576,2016,560
1396,Tuesday,3,7/10/2018,4097,2694,2059,635
1397,Wednesday,4,7/11/2018,3844,2506,1895,611
1398,Thursday,5,7/12/2018,3743,253,2001,529
1399,Friday,6,7/13/2018,3073,2068,1581,487
1400,Saturday,7,7/14/2018,1852,1249,992,257
1401,Sunday,1,7/15/2018,2105,1474,1173,301
1402,Monday,2,7/16/2018,4078,2657,2095,562
1403,Tuesday,3,7/17/2018,4515,2856,2255,601
1404,Wednesday,4,7/18/2018,4276,2779,2173,606
1405,Thursday,5,7/19/2018,4043,2705,2114,591
1406,Friday,6,7/20/2018,3004,2028,1576,452
1407,Saturday,7,7/21/2018,1664,1177,942,235
1408,Sunday,1,7/22/2018,2248,1561,1246,315
1409,Monday,2,7/23/2018,4062,2658,2081,577
1410,Tuesday,3,7/24/2018,4053,268,2091,589
1411,Wednesday,4,7/25/2018,3628,2431,1879,552
1412,Thursday,5,7/26/2018,3596,2415,1925,490
1413,Friday,6,7/27/2018,314,2002,1539,463
1414,Saturday,7,7/28/2018,1938,1304,1054,250
1415,Sunday,1,7/29/2018,246,1699,1364,335
1416,Monday,2,7/30/2018,4175,2771,2166,605
1417,Tuesday,3,7/31/2018,4113,2881,231,571
1418,Wednesday,4,8/1/2018,4273,2901,231,591
1419,Thursday,5,8/2/2018,4194,2754,2202,552
1420,Friday,6,8/3/2018,3405,2345,1833,512
1421,Saturday,7,8/4/2018,18,1251,1025,226
1422,Sunday,1,8/5/2018,2378,1694,1388,306
1423,Monday,2,8/6/2018,4319,2856,2233,623
1424,Tuesday,3,8/7/2018,4388,2971,2375,596
1425,Wednesday,4,8/8/2018,4205,2724,2118,606
1426,Thursday,5,8/9/2018,3973,2555,1998,557
1427,Friday,6,8/10/2018,351,2224,1777,447
1428,Saturday,7,8/11/2018,1913,1281,1012,269
1429,Sunday,1,8/12/2018,2397,1644,1284,360
1430,Monday,2,8/13/2018,4348,2789,2224,565
1431,Tuesday,3,8/14/2018,3966,2688,2127,561
1432,Wednesday,4,8/15/2018,3805,2544,2035,509
1433,Thursday,5,8/16/2018,3866,2604,2074,530
1434,Friday,6,8/17/2018,3489,2219,1737,482
1435,Saturday,7,8/18/2018,2074,1394,1108,286
1436,Sunday,1,8/19/2018,2519,1687,1318,369
1437,Monday,2,8/20/2018,4202,2734,2128,606
1438,Tuesday,3,8/21/2018,4023,2711,2147,564
1439,Wednesday,4,8/22/2018,4048,2685,2121,564
1440,Thursday,5,8/23/2018,415,286,2249,611
1441,Friday,6,8/24/2018,3154,2199,1742,457
1442,Saturday,7,8/25/2018,2143,1317,1012,305
1443,Sunday,1,8/26/2018,2576,1705,1372,333
1444,Monday,2,8/27/2018,4317,2954,2367,587
1445,Tuesday,3,8/28/2018,4421,3023,2427,596
1446,Wednesday,4,8/29/2018,4563,3019,2395,624
1447,Thursday,5,8/30/2018,4055,2798,2265,533
1448,Friday,6,8/31/2018,3427,2305,1815,490
1449,Saturday,7,9/1/2018,1731,1241,989,252
1450,Sunday,1,9/2/2018,2258,1641,1293,348
1451,Monday,2,9/3/2018,3655,2499,2032,467
1452,Tuesday,3,9/4/2018,4456,2995,2435,560
1453,Wednesday,4,9/5/2018,4566,3042,2456,586
1454,Thursday,5,9/6/2018,4314,3049,2508,541
1455,Friday,6,9/7/2018,3557,2349,189,459
1456,Saturday,7,9/8/2018,2281,1548,1255,293
1457,Sunday,1,9/9/2018,3346,2255,1906,349
1458,Monday,2,9/10/2018,4711,32,26,600
1459,Tuesday,3,9/11/2018,4709,3134,2595,539
1460,Wednesday,4,9/12/2018,4379,3032,2464,568
1461,Thursday,5,9/13/2018,4357,287,2325,545
1462,Friday,6,9/14/2018,356,2396,1907,489
1463,Saturday,7,9/15/2018,2049,1488,1244,244
1464,Sunday,1,9/16/2018,2813,1934,1614,320
1465,Monday,2,9/17/2018,5064,3241,2621,620
1466,Tuesday,3,9/18/2018,5006,3221,2595,626
1467,Wednesday,4,9/19/2018,4949,3282,2708,574
1468,Thursday,5,9/20/2018,4695,3165,2573,592
1469,Friday,6,9/21/2018,3516,2383,1933,450
1470,Saturday,7,9/22/2018,246,1704,1374,330
1471,Sunday,1,9/23/2018,2994,2127,1733,394
1472,Monday,2,9/24/2018,4688,3273,2679,594
1473,Tuesday,3,9/25/2018,4924,3481,2885,596
1474,Wednesday,4,9/26/2018,5209,3546,2936,610
1475,Thursday,5,9/27/2018,5966,4029,3385,644
1476,Friday,6,9/28/2018,474,3171,2643,528
1477,Saturday,7,9/29/2018,2715,187,1618,252
1478,Sunday,1,9/30/2018,3739,2573,2194,379
1479,Monday,2,10/1/2018,5841,3982,3331,651
1480,Tuesday,3,10/2/2018,5881,4096,3514,582
1481,Wednesday,4,10/3/2018,554,3863,3249,614
1482,Thursday,5,10/4/2018,5636,3894,3306,588
1483,Friday,6,10/5/2018,4479,312,2638,482
1484,Saturday,7,10/6/2018,3076,2094,175,344
1485,Sunday,1,10/7/2018,3973,2865,2457,408
1486,Monday,2,10/8/2018,6045,431,3659,651
1487,Tuesday,3,10/9/2018,6126,4173,3522,651
1488,Wednesday,4,10/10/2018,6084,4319,3616,703
1489,Thursday,5,10/11/2018,6154,4254,3632,622
1490,Friday,6,10/12/2018,4868,3385,2784,601
1491,Saturday,7,10/13/2018,3409,2379,2006,373
1492,Sunday,1,10/14/2018,4722,3357,2859,498
1493,Monday,2,10/15/2018,6555,455,3766,784
1494,Tuesday,3,10/16/2018,7079,4652,3893,759
1495,Wednesday,4,10/17/2018,6691,4673,3893,780
1496,Thursday,5,10/18/2018,6522,4398,3666,732
1497,Friday,6,10/19/2018,4922,339,2857,533
1498,Saturday,7,10/20/2018,3409,2399,199,409
1499,Sunday,1,10/21/2018,4483,3092,2623,469
1500,Monday,2,10/22/2018,6666,4499,3769,730
1501,Tuesday,3,10/23/2018,6991,4677,3916,761
1502,Wednesday,4,10/24/2018,6871,4619,3808,811
1503,Thursday,5,10/25/2018,6357,4331,3579,752
1504,Friday,6,10/26/2018,5114,3468,2827,641
1505,Saturday,7,10/27/2018,3456,24,2006,394
1506,Sunday,1,10/28/2018,4924,3251,2735,516
1507,Monday,2,10/29/2018,6837,4704,389,814
1508,Tuesday,3,10/30/2018,6481,4547,3798,749
1509,Wednesday,4,10/31/2018,6296,4316,3545,771
1510,Thursday,5,11/1/2018,6044,3988,3299,689
1511,Friday,6,11/2/2018,486,3326,2738,588
1512,Saturday,7,11/3/2018,343,2289,1946,343
1513,Sunday,1,11/4/2018,4638,3236,2744,492
1514,Monday,2,11/5/2018,6365,4329,3609,720
1515,Tuesday,3,11/6/2018,633,4291,3556,735
1516,Wednesday,4,11/7/2018,5865,3937,3267,670
1517,Thursday,5,11/8/2018,5692,3938,3298,640
1518,Friday,6,11/9/2018,5026,3533,2917,616
1519,Saturday,7,11/10/2018,3506,2428,2018,410
1520,Sunday,1,11/11/2018,4778,3265,2709,556
1521,Monday,2,11/12/2018,6684,4592,3795,797
1522,Tuesday,3,11/13/2018,6766,472,3918,802
1523,Wednesday,4,11/14/2018,6916,4674,3872,802
1524,Thursday,5,11/15/2018,644,4379,3634,745
1525,Friday,6,11/16/2018,5066,3497,2863,634
1526,Saturday,7,11/17/2018,3503,2489,2043,446
1527,Sunday,1,11/18/2018,4855,3321,2691,630
1528,Monday,2,11/19/2018,6818,4601,3795,806
1529,Tuesday,3,11/20/2018,6239,4424,364,784
1530,Wednesday,4,11/21/2018,5471,3904,3194,710
1531,Thursday,5,11/22/2018,4453,3186,2592,594
1532,Friday,6,11/23/2018,4062,2892,2347,545
1533,Saturday,7,11/24/2018,3485,2445,1987,458
1534,Sunday,1,11/25/2018,4906,3371,2815,556
1535,Monday,2,11/26/2018,7099,4871,4012,859
1536,Tuesday,3,11/27/2018,7503,5181,4267,914
1537,Wednesday,4,11/28/2018,7554,5227,433,897
1538,Thursday,5,11/29/2018,7169,4944,4106,838
1539,Friday,6,11/30/2018,5608,3895,3211,684
1540,Saturday,7,12/1/2018,4055,28,2306,494
1541,Sunday,1,12/2/2018,5611,3906,3259,647
1542,Monday,2,12/3/2018,765,5378,4431,947
1543,Tuesday,3,12/4/2018,7372,5225,4328,897
1544,Wednesday,4,12/5/2018,7369,5166,4316,850
1545,Thursday,5,12/6/2018,725,5093,4213,880
1546,Friday,6,12/7/2018,5735,4032,3296,736
1547,Saturday,7,12/8/2018,4614,324,2699,541
1548,Sunday,1,12/9/2018,5979,4062,3352,710
